m_idx,m_uuid,mc_idx,m_name,m_price_type,m_price,mb_no,m_producer,m_running_time,m_status,m_dash_url,m_hls_url,guid,m_use,m_hit,m_post_time_st,m_post_time_ed,m_preview,m_genre_type,m_is_allow,created_at,updated_at,m_seq,deleted_at
178,a6b86d84-989a-4509-a059-0a0b8aa2c2c8,11,b'[\xed\x99\x94\xeb\xa3\xa1\xec\xa0\x90\xec\xa0\x95] \xec\xba\xa0\xed\x95\x91\xec\x9e\xa5 \xec\xb2\xb4\xed\x97\x98',1,,9,(주)씨엠비,1542.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/07a9cd36b52d4d0dacca89a10dbf3404/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/07a9cd36b52d4d0dacca89a10dbf3404/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,bf0131bd-fc86-4c9b-9202-405aa1ad7f76,1,0,2022-12-15 15:00:00,2023-12-31 14:59:00,1542,예능,1,2022-12-16 01:09:16,2023-01-25 11:07:07,0,
179,ff19be74-1303-4094-92a0-bf41e8eed96a,11,b'[\xeb\xa7\xa4\xea\xb1\xb0\xec\xa7\x84\xec\x9c\x84\xed\x81\xac] \xea\xb5\xad\xeb\xa6\xbd\xeb\x82\x98\xec\xa3\xbc\xeb\xb0\x95\xeb\xac\xbc\xea\xb4\x80',1,0.0,9,(주)씨엠비,1552.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/f0b36470200a49bc929a024664c7dbc7/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/f0b36470200a49bc929a024664c7dbc7/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,95430361-6b60-4da3-911d-6a71a944e46e,1,0,2022-12-15 15:00:00,2023-12-31 14:59:00,1552,예능,1,2022-12-16 01:57:13,2022-12-16 02:02:07,0,
180,d6cf584a-4432-4b0a-8450-50c6dec5c3f4,67,b'\xea\xb0\x95\xea\xb2\xbd \xed\x98\x9c\xec\xa0\x95 \xec\xa0\x93\xea\xb0\x88 2kg / 3kg',2,29900.0,9,(주)씨엠비,3600.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/900428c306fe4e9888a076aced77df37/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/900428c306fe4e9888a076aced77df37/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,ef7c6117-c257-4387-904c-368211c967eb,1,1,2022-12-15 15:00:00,2024-01-31 14:59:00,60,,1,2022-12-16 02:21:51,2023-06-21 02:02:35,0,
181,291eaa49-3a3e-45c1-89fb-5e25b6baf33a,67,b'\xea\xb3\xb5\xec\xa3\xbc\xec\x95\x8c\xeb\xb0\xa4 2kg/ 4kg',2,29900.0,8,(주)씨엠비,3600.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/c856f63206cb44e1bb832b03c649f65a/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/c856f63206cb44e1bb832b03c649f65a/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,c81c4a22-0c65-4d85-ac1b-8972c79a04a6,1,0,2023-12-15 15:00:00,2024-01-31 14:59:00,60,,1,2022-12-16 02:37:05,2023-01-05 04:37:02,0,
182,fa26dfc7-9700-4d40-86b2-19427d9fb800,67,b'\xea\xb0\x84\xec\x9e\xa5\xea\xb2\x8c\xec\x9e\xa5 3.4kg',2,59900.0,8,(주)씨엠비,3600.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/795a9bac60aa41f8a077732fb53e83da/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/795a9bac60aa41f8a077732fb53e83da/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,9a680d53-b73c-4a60-8d44-36dfe3a1fe99,1,0,2022-12-15 15:00:00,2024-01-31 14:59:00,60,,1,2022-12-16 02:47:40,2023-01-05 04:36:55,0,
183,c85c74a0-346f-463c-b41c-5ed554c98892,67,b'\xec\x98\x81\xea\xb4\x91\xea\xb5\xb4\xeb\xb9\x84 70g*50\xeb\xaf\xb8(3.5kg)',2,39900.0,9,(주)씨엠비,3600.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/240eaffdc9254b46932ced7dab0423c1/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/240eaffdc9254b46932ced7dab0423c1/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,1053190b-10e5-4fa0-b5b8-57a48543e347,1,0,2022-12-15 15:00:00,2024-12-31 14:59:00,60,,1,2022-12-16 02:59:09,2023-12-20 00:55:55,0,
184,ce95cc72-37a7-4e1a-a9cb-7eafcaf53f44,67,b'\xea\xb0\x84\xec\x9e\xac\xeb\xaf\xb8 3kg',2,39900.0,8,(주)씨엠비,3600.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/3da91eda9c3c4f3fa6d042a759122137/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/3da91eda9c3c4f3fa6d042a759122137/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,cb254411-12a8-4e0a-96c6-004704ffb128,1,0,2022-12-15 15:00:00,2025-01-01 14:59:00,60,,1,2022-12-16 04:25:15,2023-12-20 00:55:45,0,
185,a149831e-6106-4098-88a7-bbbd9e45e5a4,67,b'\xeb\x82\x98\xec\xa3\xbc\xeb\xb0\xb0 10kg',2,39900.0,9,(주)씨엠비,3600.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/145c86154e5e4428ae45f4e4d48cf565/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/145c86154e5e4428ae45f4e4d48cf565/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,8fd5aaa3-8e57-4670-8b5e-c6bf223e0de8,1,0,2022-12-15 15:00:00,2024-01-31 14:59:00,60,,1,2022-12-16 04:38:24,2022-12-19 05:40:55,0,
186,25025def-65b4-4b0c-bf1f-4e6267b9ac43,67,b'\xea\xb3\xa0\xec\xb6\xa7\xea\xb0\x80\xeb\xa3\xa8 2kg',2,69000.0,8,(주)씨엠비,,0,,,,0,0,2022-12-15 15:00:00,2024-01-31 14:59:00,60,,1,2022-12-16 04:46:47,2022-12-16 05:49:02,0,
187,ac7c64bb-1e7a-4fea-81a0-efd54ff6b967,11,b'[\xeb\x8f\x99\xeb\x84\xa4\xed\x95\xb4\xea\xb2\xb0\xec\x82\xac]\xeb\x8f\x84\xeb\xb0\x95\xec\xa4\x91\xeb\x8f\x85 \xec\x98\x88\xeb\xb0\xa9\xea\xb3\xbc \xea\xb7\xbc\xec\xa0\x88',1,0.0,9,(주)씨엠비,1544.0,2,https://vod.cmbrainbowtv.co.kr/out/v1/abf661ff8ef04cddaff062f5e9b9c195/ad453197e11a4612a04c63349dc76c1b/0e792079dcdc44b39549aac33ce7b9fb/index.mpd,https://vod.cmbrainbowtv.co.kr/out/v1/abf661ff8ef04cddaff062f5e9b9c195/e0860703c03149daaceada5ecd07b165/3d5690637f38436a9a393adfe4f66a5e/index.m3u8,e96e2c9d-5a85-4bdb-8a0d-2d49a984b4c4,1,0,2022-12-15 15:00:00,2023-12-31 14:59:00,1543,시사교양,1,2022-12-16 05:20:28,2022-12-16 05:25:05,0,
